Album, Items
Walnut Creek Farm,249
Sugarcreek & Millersburg,19
Berlin- Ohio,39
Ashworth Block Party,24
EWC Spring,38
EWC Autumn,6
Ruth Leopard 100th Birthday,31
Our 34th Anniversary,8
Castro's Solarium,23
Calixto Grill Restaurant,13
from Oscar 2020,36
Sew-a-lot Webinar,69
MLK Branch Lib 2020,32
Mike Naylor BD,6
George Andrade's BD Party,35
Calixto Grill Restaurant,13
The Wilds 2020 ~ The Sunset Tour,450
EWC in the Time of Covid-19,38
Elena is a teenager,91
Kathy Alexander BD 2020,81
New Year 2020 Party,27
Christmas Day 2019,76
Christmas Eve 2019,60
Ginger Bread Houses,74
Alberto Arenas Christmas Party,64
Morehead State University Reunion,32
Thanksgiving 2019,47
Kettering Craft Festival,14
Lebanon Train Tour,74
South East Branch Library,24
German Festival,16
Dinner with Friends,9
Culp Cafe,13
Grand Kids in 2019,44
Miscellaneus 2019,466
Italian Mystery Crime Dinner,24
EWC Cruise Party 2019,62
EWC Brunch 2019,45
Easter 2019,23
Landscape Remodel #3,74
Landscape Remodel #2,66
Landscape Remodel #1,49
Patrick & Natalie babies,7
The Chasin' Tails Restaurant,15
Going To Washington DC,57
Mount Vernon ~ George Washington Estate,80
Arlington National Cemetery 2019,165
Pam's Quilt by Rachael and Jan,36
Murder Mystery Dinner Game Party,42
Lilly's 4th Birthday,177
Andrew Kruger's Hight School Graduation Party,181
Oscar and Bea Wedding,33
Elena's 12th Birthday,62
George Andrade's Birthday,43
Kathy Alexander's 70th Birthday,34
2019 First Snow,57
SHPE Christmas 2009,76
SHPE Christmas 2006,25
Christmast Day- 2018,49
Christmas Eve 2018,120
Gingerbread Houses 2018,42
Thanksgiving 2018,43
Martinique- Nov 9- 2018,54
Adios St. Kitts- Nov 18-2018,46
St. Kitts- Nov 17- 2018,59
St. Kitts- Nov 16- 2018,23
Sagitta Crew at St. Kitts- Nov 15- 2018,287
Nevis- Nov 14- 2018,285
Antigua- Nov 13- 2018,77
Sagitta in Deshailes- Nov 12- 2018,152
Isles Les Saintes- Nov 11- 2018,108
Fort Napoleon- Nov 11- 2018,91
Dominica- Nov 10- 2018,116
Bequia- Nov 8-2018,194
Tobago Cays- Nov 7- 2018,155
Union- Nov 6- 2018,108
Mayreau- Nov 6- 2018,34
Anse Chastanet- Nov 5- 2018,118
St. Lucia- Nov 4- 2018,56
St. Lucia Tour- Nov 3- 2018,153
Saint Lucia- Nov 2- 2018,70
Autumn Photos,13
Al Scarpelli Retirement,13
Edra's Birthday 2018,16
Oscar & Bea at Jungle Jim's,18
Oscar & Bea at the Noah's Ark,149
Oscar & Bea at the Creation Museum,49
Oscar & Bea visit to Nashville,66
Oscar & Bea visit Dayton,30
Panoramic Budapest,101
Danube at Night- Budapest,80
Danube at Day- Budapest,25
Castle Hill- Budapest,78
Baldur- Budapest,5
Baldur in Vienna,25
Natural History Museum- Vienna,66
Viena- BigBus HoponHopOff,90
Panoramic Vienna,140
Viena- Farmer's Market,36
,7214
